Reference, Value, Footprint, Datasheet
P3,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
P2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
P4,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
FID1,FIDUCIAL,smd:FID0.5,
FID2,FIDUCIAL,smd:FID0.5,
FID4,FIDUCIAL,smd:FID0.5,
FID3,FIDUCIAL,smd:FID0.5,
U1,LME49720,Housings_DIP:DIP-8_W7.62mm_Socket,
R1,1k,Resistors_SMD:R_0805,
R9,1k,Resistors_SMD:R_0805,
R7,1k,Resistors_SMD:R_0805,
C7,1u,Capacitors_SMD:C_0805,
R2,1M,Resistors_SMD:R_0805,
R5,1M,Resistors_SMD:R_0805,
C3,1u,Capacitors_SMD:C_1206,
C4,1u,Capacitors_SMD:C_1206,
C1,1u,Capacitors_SMD:C_0805,
U4,LME49600,power:TO-263-5,
U2,LME49720,Housings_DIP:DIP-8_W7.62mm_Socket,
R3,1k,Resistors_SMD:R_0805,
R10,1k,Resistors_SMD:R_0805,
R8,1k,Resistors_SMD:R_0805,
C8,1u,Capacitors_SMD:C_0805,
R4,1M,Resistors_SMD:R_0805,
R6,1M,Resistors_SMD:R_0805,
C5,1u,Capacitors_SMD:C_1206,
C6,1u,Capacitors_SMD:C_1206,
C2,1u,Capacitors_SMD:C_0805,
C9,10u,Capacitors_SMD:C_1206,
C10,10u,Capacitors_SMD:C_1206,
C11,10u,Capacitors_SMD:C_1206,
C12,10u,Capacitors_SMD:C_1206,
U3,LME49600,power:TO-263-5,
D1,M7,Diodes_SMD:D_SMA,
D2,M7,Diodes_SMD:D_SMA,
C17,1000u,Capacitors_ThroughHole:C_Radial_D16_L25_P7.5,
C19,1000u,Capacitors_ThroughHole:C_Radial_D16_L25_P7.5,
C21,100n,Capacitors_SMD:C_0805,
C18,1000u,Capacitors_ThroughHole:C_Radial_D16_L25_P7.5,
C20,1000u,Capacitors_ThroughHole:C_Radial_D16_L25_P7.5,
C22,100n,Capacitors_SMD:C_0805,
U5,LM7812CT,Power_Integrations:TO-220,
U6,LM7912CT,Power_Integrations:TO-220,
P1,CONN_01X03,Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-3pol,
D4,M7,Diodes_SMD:D_SMA,
D3,M7,Diodes_SMD:D_SMA,
D5,LL4148,Diodes_SMD:D_MiniMELF,
D6,LL4148,Diodes_SMD:D_MiniMELF,
